,id,mol_weight,formula,P,O,I,H,Se,Mo,X,Mg,Br,As,F,R,N,C,Zn,S,Cl,Co,polymer
2842,C02791,162.0166,C6H5Cl2N,0,0,0,5,0,0,0,0,0,0,0,0,1,6,0,0,2,0,0
2843,C04590,444.5418,C23H41O6P,1,6,0,41,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0
2844,C17242,252.3542,C8H16N2O3S2,0,3,0,16,0,0,0,0,0,0,0,0,2,8,0,2,0,0,0
2845,C21181,154.1417,C3H6O5S,0,5,0,6,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0
2846,C21403,167.1003,C4H10NO4P,1,4,0,10,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0
2847,C05745,,C4H7OSR,0,1,0,7,0,0,0,0,0,0,0,1,0,4,0,1,0,0,0
2848,C17740,955.7135,C32H44N7O19P3S,3,19,0,44,0,0,0,0,0,0,0,0,7,32,0,1,0,0,0
2849,C18217,448.5922,C26H40O6,0,6,0,40,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0
2850,C03518,,C8H14NO6R,0,6,0,14,0,0,0,0,0,0,0,1,1,8,0,0,0,0,0
2851,C16729,,C16H10I4N2O4R2,0,4,4,10,0,0,0,0,0,0,0,2,2,16,0,0,0,0,0
2852,C21489,,C11H20NO2SR,0,2,0,20,0,0,0,0,0,0,0,1,1,11,0,1,0,0,0
2853,C00612,187.2825,C9H21N3O,0,1,0,21,0,0,0,0,0,0,0,0,3,9,0,0,0,0,0
2854,C08538,211.1715,C9H9NO5,0,5,0,9,0,0,0,0,0,0,0,0,1,9,0,0,0,0,0
2855,C03764,225.289,C14H15N3,0,0,0,15,0,0,0,0,0,0,0,0,3,14,0,0,0,0,0
2856,C00294,268.2261,C10H12N4O5,0,5,0,12,0,0,0,0,0,0,0,0,4,10,0,0,0,0,0
2857,C00774,274.2687,C15H14O5,0,5,0,14,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0
2858,C03062,372.2809,C15H16O11,0,11,0,16,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0
2859,C03401,104.1078,C3H8N2O2,0,2,0,8,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0
2860,C00700,524.1652,C10H15N4O15P3,3,15,0,15,0,0,0,0,0,0,0,0,4,10,0,0,0,0,0
2861,C00242,151.1261,C5H5N5O,0,1,0,5,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0
2862,C00653,,(C5H11O7P)n,1,7,0,11,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1
